epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,685.626,1.02979,0.99546,1.33772,0.75287,0.48,0.6749,0.30915,2.01136,1.99159,2.59925,0.0011684,0.0011684,0.0011684
44,701.707,1.49674,1.34934,1.74803,0.65049,0.68,0.67234,0.25232,2.02065,1.98006,2.53962,0.0011486,0.0011486,0.0011486
45,718.031,1.12977,1.00491,1.34464,0.68873,0.56,0.61007,0.19113,2.20955,2.1137,2.76595,0.0011288,0.0011288,0.0011288
46,733.35,1.05096,0.978,1.32578,0.69421,0.63583,0.71771,0.2169,2.16396,2.07832,2.69379,0.001109,0.001109,0.001109
47,748.384,1.04873,1.0262,1.39125,0.66662,0.55989,0.55798,0.23608,2.1401,2.03419,2.58798,0.0010892,0.0010892,0.0010892
48,763.274,1.06955,1.02574,1.33878,0.65782,0.48,0.50554,0.21002,2.18703,2.16666,2.68376,0.0010694,0.0010694,0.0010694
49,778.247,1.19835,1.14721,1.37147,0.61625,0.56,0.53935,0.2586,2.01345,2.01379,2.53678,0.0010496,0.0010496,0.0010496
50,793.263,1.23281,1.22153,1.47253,0.74283,0.56,0.63114,0.31497,1.85254,1.85847,2.31338,0.0010298,0.0010298,0.0010298
51,808.242,1.14985,1.02316,1.36853,0.74665,0.58983,0.65124,0.30019,1.90061,1.79751,2.34846,0.00101,0.00101,0.00101
52,823.25,1.1236,1.12204,1.38536,0.86993,0.56,0.60826,0.3105,1.8866,1.82446,2.36909,0.0009902,0.0009902,0.0009902
53,838.281,1.08176,0.98442,1.42187,0.68355,0.56,0.62176,0.31507,1.87434,1.86648,2.36733,0.0009704,0.0009704,0.0009704
54,853.252,1.15022,1.04645,1.40462,0.7871,0.64,0.70179,0.33612,1.90434,1.81524,2.48234,0.0009506,0.0009506,0.0009506
55,868.168,1.05386,0.93379,1.36901,0.70327,0.56,0.64298,0.32861,1.87484,1.78962,2.50857,0.0009308,0.0009308,0.0009308
56,883.128,1.0458,0.9278,1.31198,0.63753,0.64,0.66216,0.35024,1.75321,1.90509,2.34336,0.000911,0.000911,0.000911
57,898.169,0.95458,0.87624,1.2839,0.55506,0.64,0.64443,0.31804,1.7521,1.99606,2.29462,0.0008912,0.0008912,0.0008912
58,913.044,1.09623,0.93207,1.3327,0.51184,0.72,0.62304,0.29394,1.84733,2.03428,2.35379,0.0008714,0.0008714,0.0008714
59,928.244,1.05837,0.9605,1.39424,0.59286,0.75728,0.70803,0.32992,1.69807,1.89996,2.22982,0.0008516,0.0008516,0.0008516
60,943.503,1.05251,0.88384,1.28103,0.66696,0.68,0.72012,0.33935,1.70003,1.86382,2.21407,0.0008318,0.0008318,0.0008318
61,958.627,1.10606,0.92592,1.31151,0.72844,0.68,0.71047,0.34224,1.73821,1.83089,2.30845,0.000812,0.000812,0.000812
62,973.69,0.90125,0.8913,1.27366,0.69748,0.52,0.61571,0.31328,1.71557,2.00741,2.33305,0.0007922,0.0007922,0.0007922
